filename,num_segment,genre,MFCC_1_mean,MFCC_1_var,MFCC_2_mean,MFCC_2_var,MFCC_3_mean,MFCC_3_var,MFCC_4_mean,MFCC_4_var,MFCC_5_mean,MFCC_5_var,MFCC_6_mean,MFCC_6_var,MFCC_7_mean,MFCC_7_var,MFCC_8_mean,MFCC_8_var,MFCC_9_mean,MFCC_9_var,MFCC_10_mean,MFCC_10_var,MFCC_11_mean,MFCC_11_var,MFCC_12_mean,MFCC_12_var,MFCC_13_mean,MFCC_13_var,MFCC_14_mean,MFCC_14_var,MFCC_15_mean,MFCC_15_var,MFCC_16_mean,MFCC_16_var,MFCC_17_mean,MFCC_17_var,MFCC_18_mean,MFCC_18_var,MFCC_19_mean,MFCC_19_var,MFCC_20_mean,MFCC_20_var,MFCC_21_mean,MFCC_21_var,MFCC_22_mean,MFCC_22_var,MFCC_23_mean,MFCC_23_var,MFCC_24_mean,MFCC_24_var,MFCC_25_mean,MFCC_25_var,MFCC_26_mean,MFCC_26_var,MFCC_27_mean,MFCC_27_var,MFCC_28_mean,MFCC_28_var,MFCC_29_mean,MFCC_29_var,MFCC_30_mean,MFCC_30_var,MFCC_31_mean,MFCC_31_var,MFCC_32_mean,MFCC_32_var,MFCC_33_mean,MFCC_33_var,MFCC_34_mean,MFCC_34_var,MFCC_35_mean,MFCC_35_var,MFCC_36_mean,MFCC_36_var,MFCC_37_mean,MFCC_37_var,MFCC_38_mean,MFCC_38_var,MFCC_39_mean,MFCC_39_var,MFCC_40_mean,MFCC_40_var
blues.00000.wav,1,blues,-113.59882,2569.3694,121.57067,295.8471,-19.162262,235.58444,42.36394,151.03873,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339803,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.326061,61.76499,8.802088,51.28075,-3.6699412,41.215897,5.744676,40.51752,-5.162783,49.784233,0.7517065,52.424534,-1.687854,36.535866,-0.40872997,41.603172,-2.302677,55.053654,1.2224671,46.941353,-3.5328746,37.975147,-1.1397806,31.488348,-4.282828,38.06576,-4.2260838,42.76126,0.9151875,62.437622,0.91406375,54.03871,-5.761807,54.862373,-3.9328036,49.142673,1.5094346,60.650375,2.6984653,96.92506,5.656073,84.23686,-3.269008,88.48893,-0.20606378,58.868004,-2.999698,54.758743,4.476317,62.762375,-0.47685507,53.350407,6.006285,49.45277,-0.059690423,54.96941,-3.4585848,57.764973,-1.8418322,51.205795
blues.00001.wav,1,blues,-207.52383,7769.1045,123.98514,559.91345,8.947019,572.3363,35.86715,264.7167,2.9095948,279.97604,21.519472,156.3668,-8.556513,200.80203,23.370676,142.56712,-10.103608,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20454,-2.2344918,64.87307,4.220704,73.15042,-6.0106864,52.429462,0.92929417,55.337963,-0.7284029,60.231415,0.2968724,48.133217,-0.28243044,51.106014,0.5306444,45.7887,-4.0987844,42.83118,-1.2431856,45.852238,-2.851357,39.53435,-4.3501954,70.40752,3.2750847,61.689137,1.2195734,60.668655,-0.013765564,55.576843,-0.066608295,83.73835,3.979033,76.61875,-0.45776716,93.99603,0.8360188,71.31184,-3.743217,53.42342,-4.0997047,54.979107,-2.4519055,61.619576,5.834808,80.0337,3.5449877,76.457634,4.89732,69.58343,-0.41559702,63.76409,-1.9954146,57.982594,-0.46521786,59.006985
blues.00002.wav,1,blues,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95421,-13.976547,155.66135,25.753752,74.391716,-13.66499,106.84102,11.634442,106.52026,-11.778322,65.48224,9.714756,67.84235,-13.125314,57.67196,5.791247,64.49476,-8.901968,60.390575,-1.0801601,57.690224,-9.226245,36.514374,2.4483044,40.641678,-7.7248397,47.629646,-1.819024,52.393604,-3.4404576,46.6434,-2.2381277,30.65315,-4.052338,43.534817,-0.57142246,59.226574,-2.0118372,49.701614,-5.386335,52.377884,-5.1335306,61.7434,-7.805535,39.243927,-1.1687835,50.80623,-0.20596693,53.739944,1.3964347,59.712727,-3.00188,54.104553,-1.3764814,51.41871,-4.7496324,63.25329,-0.3775158,49.15634,0.49346918,47.376923,0.44727057,53.6641,-4.1626716,51.670406,-4.815749,43.662727,-6.7032337,41.39948,-4.425334,45.72517,-0.98151916,45.995106
blues.00003.wav,1,blues,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700713,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.269356,6.078081,48.21452,-2.478445,56.776222,-1.0815871,62.243008,-2.874454,51.609818,0.773994,44.432903,-3.3240688,50.21845,0.6363107,37.325726,-0.6159676,37.257774,-3.405046,31.965254,-1.4968088,34.790203,-0.054011606,31.204569,-1.8613148,28.416183,-4.709931,22.890345,-3.9263315,23.459154,-6.64948,28.052565,-2.8977783,27.928999,-3.2251306,26.410456,-0.2723147,26.438545,-3.8175535,25.622776,-2.8219495,42.04399,-4.2044272,32.058308,-2.7023358,21.731823,-3.8456042,24.385025,-2.52441,25.799437,-4.93561,19.443823,-5.954977,19.96813,-6.616996,24.114964,-6.396002,27.11369,-1.5011888,21.612556
blues.00004.wav,1,blues,-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03232,22.139256,193.75323,-32.47355,336.4254,10.850702,134.86504,-23.35007,93.29354,0.49324912,124.73352,-11.796538,129.97539,1.2035192,99.71714,-13.084959,80.24316,-2.8104994,86.436485,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.5158625,85.9952,-5.451786,75.27675,-0.91595227,53.63323,-4.4080176,62.882492,-11.704385,55.19025,-5.866304,67.47997,-0.7214319,61.050777,0.95571446,54.035244,-1.2184657,47.162975,4.58054,70.38027,0.3016494,81.35364,-1.2800436,72.9315,-4.4865327,44.61972,-0.410622,58.19141,0.2792643,81.26497,8.481701,83.96016,3.6461463,73.61256,-3.0076735,52.456776,-6.110803,50.959976,-6.9519696,50.12278,-4.0705533,44.700737,-1.1372157,34.133488,-0.4916049,52.580353,-4.786619,63.28406,-3.2211275,49.0332
blues.00005.wav,1,blues,-177.80174,7307.454,118.20316,3195.2058,-17.57063,654.1079,30.760927,485.68988,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70338,-8.580818,172.22574,-0.9328851,100.121,-11.772245,76.55475,-2.4087636,78.802635,-9.348446,80.10772,-9.942636,47.53443,-3.9021835,60.0207,-5.574562,72.57674,-1.8393145,68.66612,-2.7893167,42.470528,-3.0478048,39.803387,-8.109732,46.282936,-2.4683328,57.508156,-1.7097126,64.25533,-4.2748,60.671257,-4.638067,96.03127,-2.3258958,194.6022,0.92919034,180.36156,4.380316,200.43335,5.1934047,129.42712,5.6919427,113.915855,2.5332878,120.113075,2.618916,99.11998,-4.3523993,67.514465,-6.8065543,66.11976,-2.9144077,66.7341,-1.060713,45.34155,1.9090171,69.29687,1.0149453,48.163284,-3.1143417,41.324112,-5.300716,52.064117,-5.259621,59.471836
blues.00006.wav,1,blues,-190.0688,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036213,480.1932,11.093892,1082.9683,-0.5918819,280.1115,-20.890266,151.6834,0.2784424,102.85332,-6.496385,131.09853,-5.5127354,153.40236,-7.847404,87.5064,-3.1243007,64.21006,-6.6028214,79.14686,-9.95,63.038452,-6.5426884,86.344986,-10.072228,83.25455,-10.918623,56.950497,-6.9652433,38.267097,-3.4394317,48.163647,-6.484499,70.21345,-7.109118,79.30743,-7.1270666,110.79459,-5.2788844,125.783325,-4.594155,83.216576,-3.248537,68.38009,-2.9024065,105.902985,1.4326023,153.44118,2.9310663,146.37708,2.1179903,160.48097,-1.4838628,179.32034,-0.63566715,125.31859,2.9653616,106.809,2.610367,100.42752,1.7908589,87.70547,-1.9822515,73.72091,-5.1708612,57.216526,-2.3732464,56.648026,0.1403828,65.31051,3.7044878,109.35379,5.2581644,133.57257
blues.00007.wav,1,blues,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.20874,39.96545,353.4062,5.3108945,650.08966,10.919133,136.28798,-20.559534,163.69316,8.50336,151.2844,-11.349764,171.91977,-3.4705548,178.22743,-8.415842,147.56088,-6.957211,83.71853,-3.5460427,93.2653,-8.051759,57.423862,-8.964918,82.25947,-8.427482,70.46944,-10.5642805,52.018356,-10.785659,60.50718,-4.6954694,65.581085,-8.631641,56.38694,-11.013335,55.86814,-10.376792,65.3253,-1.8437742,52.288773,-1.4459479,97.48863,-3.1292245,53.921345,-1.1877847,41.081802,-3.6127698,38.477486,-3.2484038,39.059986,-0.63257986,50.208687,0.89647955,79.67184,4.022117,89.58932,2.7066686,67.98946,-0.1668088,73.79401,-2.527765,93.76074,-3.4568138,76.25966,-2.8802347,47.568478,0.7377761,42.838585,-1.9461105,40.18745,-4.8756294,49.55015,-3.2393322,63.682823
blues.00008.wav,1,blues,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.122135,193.91731,-8.179258,177.07607,20.172466,106.9469,-19.171894,57.659283,23.036837,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535206,-12.730549,61.94805,5.0585384,50.547115,-5.1858063,33.02635,-1.4536041,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232,-4.271836,22.76274,-0.6242572,26.815392,-4.291122,29.065983,-13.373034,50.24578,-8.269029,42.48768,-2.0969207,39.008114,10.555008,76.31443,2.9229867,50.130177,-1.035578,40.79024,-0.75153357,41.34644,-0.5030914,59.301334,-1.4110123,53.05009,-1.8862722,34.343647,-1.8116941,42.468758,2.3668487,40.537907,-4.3018703,29.177717,-3.8826876,30.579935,-5.0936933,20.92422,0.50897497,26.978668,1.1860472,31.352503
blues.00009.wav,1,blues,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93396,-20.34833,531.99756,13.082702,278.2447,-9.1827,126.45182,9.017152,67.964165,-14.104312,110.09561,4.271254,92.602684,-6.0507803,84.85938,3.7858355,104.41364,0.22263548,76.34565,-5.106882,85.42631,-0.41015303,103.98576,-1.1793449,59.323406,-1.9147079,58.461433,-2.2936609,83.12304,2.8842604,77.04226,-4.2338796,91.44655,1.5943897,137.27013,2.4687598,84.295715,-0.89877796,79.48734,1.8610442,91.906525,5.0366416,114.6962,0.77003556,109.21447,5.6383834,101.31999,0.44044876,73.06298,-0.90267456,81.38553,-2.202855,75.72223,-1.890678,72.47408,-3.4581227,48.70334,-0.97014093,51.567406,1.545818,88.04001,3.1887379,105.725006,4.5513167,80.742035,1.9031553,55.72734,-0.6868153,49.705093,-2.7414927,66.30241,-0.059063055,98.362564
